"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARF4",3.51790188530702e-28,1.06041011603909,0.274,0.106,7.68802278014996e-24,"9","ARF4"
"KDELR2",5.2034270201621e-28,1.10785170841232,0.298,0.124,1.13715694098623e-23,"9","KDELR2"
"RPL271",8.87582256712384e-28,1.02904245237432,0.489,0.263,1.93972226381924e-23,"9","RPL27"
"SOX41",5.98440752585954e-27,0.494287643855356,0.32,0.126,1.30783242070134e-22,"9","SOX4"
"GSTP1",7.90401807482729e-27,0.851487551892638,0.291,0.115,1.72734411007275e-22,"9","GSTP1"
"RACK12",1.10724991620141e-26,0.976705866981754,0.46,0.241,2.41978396686656e-22,"9","RACK1"
"CAP1",1.40595888558475e-26,0.925175232952265,0.279,0.111,3.07258254855692e-22,"9","CAP1"
"MARCKS",1.52571511295946e-25,1.06509561209579,0.306,0.13,3.3342978078616e-21,"9","MARCKS"
"STK24",2.06499783297661e-25,0.846232403453233,0.271,0.107,4.51284626418709e-21,"9","STK24"
"SEC13",4.83797879946149e-25,0.909355350117138,0.308,0.13,1.05729188683431e-20,"9","SEC13"
"EIF11",6.97553222865007e-25,0.802382958652727,0.65,0.42,1.52443281324919e-20,"9","EIF1"
"AC016876.3",8.17791978150069e-25,0.928227312396547,0.291,0.126,1.78720258904916e-20,"9","AC016876.3"
"YBX1",1.41085153895681e-24,1.0354083263668,0.381,0.189,3.08327495323621e-20,"9","YBX1"
"MYDGF",1.43352825910435e-24,0.836105915606354,0.32,0.14,3.13283265744665e-20,"9","MYDGF"
"LDHA",9.39100434618896e-24,0.816469676296107,0.374,0.176,2.05231008981613e-19,"9","LDHA"
"PSMA7",1.0308844015743e-23,1.01922431501115,0.298,0.131,2.25289477120048e-19,"9","PSMA7"
"PFN11",1.14627092143824e-23,1.01285544952057,0.293,0.128,2.50506047171114e-19,"9","PFN1"
"ACTG12",1.67579512613181e-23,0.781145186969852,0.628,0.405,3.66228266864846e-19,"9","ACTG1"
"RPS192",1.89227251116866e-23,0.852716100645942,0.621,0.404,4.13537234590798e-19,"9","RPS19"
"IER21",7.57181368461212e-23,1.00436108847094,0.315,0.14,1.65474416263513e-18,"9","IER2"
"RPS162",1.37638054536378e-22,0.762352673575763,0.667,0.451,3.00794204383801e-18,"9","RPS16"
"EEF1D",2.26470309474758e-22,0.797944935153123,0.291,0.129,4.94928214326136e-18,"9","EEF1D"
"RAB13",2.98067303576807e-22,0.938864402869247,0.384,0.193,6.51396285236754e-18,"9","RAB13"
"PLOD2",4.187650316987e-22,1.00565222498971,0.359,0.176,9.15169100274338e-18,"9","PLOD2"
"EEF1B21",1.17346641087733e-21,0.853601846474628,0.423,0.23,2.56449349433131e-17,"9","EEF1B2"
"ENO11",1.94688416750164e-21,0.811996667251884,0.538,0.321,4.25472065965807e-17,"9","ENO1"
"PABPC12",1.14318671049313e-20,0.938228384918589,0.318,0.154,2.49832023711169e-16,"9","PABPC1"
"TUBB2",2.78840514595902e-20,0.851801474639728,0.621,0.406,6.09378060597885e-16,"9","TUBB"
